"","Depth_m","Prof1_Temp_degC","Prof1_Sal_psu","Prof2_Temp_degC","Prof2_Sal_psu"
"1",0,29.528,30.429,29.176,34.867
"2",1,29.507,31.049,29.173,34.86
"3",2,29.486,31.672,29.169,34.853
"4",3,29.463,32.307,29.166,34.847
"5",4,29.438,32.965,29.162,34.843
"6",5,29.409,33.66,29.159,34.83
"7",6,29.386,34.095,29.143,34.8
"8",7,29.37,34.431,29.122,34.821
"9",8,29.378,34.693,29.083,34.828
"10",9,29.433,35.056,29.054,34.844
"11",10,29.552,35.628,29.038,34.944
"12",11,29.577,35.907,29.041,35.21
"13",12,29.57,35.992,29.082,35.598
"14",13,29.528,35.997,29.108,35.802
"15",14,29.506,35.993,29.103,35.842
"16",15,29.507,36,29.086,35.837
"17",16,29.502,36.002,29.058,35.829
"18",17,29.494,36.005,29.03,35.827
"19",18,29.488,36.01,28.992,35.825
"20",19,29.482,36.021,28.938,35.827
"21",20,29.433,36.029,28.859,35.831
"22",21,29.371,36.043,28.779,35.84
"23",22,29.291,36.057,28.725,35.85
"24",23,29.227,36.074,28.677,35.865
"25",24,29.168,36.127,28.649,35.875
"26",25,29.111,36.164,28.626,35.888
"27",26,29.076,36.177,28.597,35.919
"28",27,29.04,36.19,28.553,35.951
"29",28,29.014,36.204,28.493,35.98
"30",29,28.959,36.22,28.449,35.995
"31",30,28.829,36.236,28.379,36.011
"32",31,28.683,36.239,28.221,36.032
"33",32,28.468,36.24,28.055,36.058
"34",33,28.205,36.239,27.852,36.093
"35",34,28.044,36.239,27.732,36.12
"36",35,27.827,36.248,27.591,36.15
"37",36,27.553,36.26,27.475,36.162
"38",37,27.285,36.267,27.414,36.169
"39",38,27.077,36.269,27.352,36.172
"40",39,26.866,36.27,27.232,36.169
"41",40,26.713,36.278,27.021,36.155
"42",41,26.53,36.296,26.856,36.163
"43",42,26.34,36.294,26.693,36.231
"44",43,26.208,36.292,26.488,36.321
"45",44,26.105,36.29,26.242,36.363
"46",45,25.93,36.299,25.869,36.382
"47",46,25.765,36.311,25.614,36.391
"48",47,25.654,36.319,25.355,36.396
"49",48,25.576,36.329,25.204,36.407
"50",49,25.467,36.349,25.119,36.42
"51",50,25.341,36.362,25.001,36.418
"52",51,25.175,36.365,24.9,36.419
"53",52,25.027,36.364,24.782,36.423
"54",53,24.936,36.382,24.545,36.396
"55",54,24.928,36.45,24.246,36.374
"56",55,24.79,36.464,24.027,36.383
"57",56,24.643,36.452,23.855,36.407
"58",57,24.494,36.437,23.715,36.415
"59",58,24.313,36.43,23.636,36.413
"60",59,24.172,36.427,23.492,36.409
"61",60,23.99,36.418,23.345,36.417
"62",61,23.794,36.407,23.286,36.437
"63",62,23.602,36.397,23.199,36.446
"64",63,23.364,36.392,23.025,36.45
"65",64,23.256,36.393,22.891,36.45
"66",65,23.138,36.403,22.784,36.455
"67",66,23.003,36.41,22.654,36.449
"68",67,22.857,36.412,22.54,36.437
"69",68,22.71,36.411,22.438,36.431
"70",69,22.609,36.408,22.325,36.427
"71",70,22.513,36.402,22.252,36.423
"72",71,22.422,36.396,22.2,36.423
"73",72,22.323,36.397,22.146,36.424
"74",73,22.218,36.411,22.078,36.42
"75",74,22.147,36.421,22.034,36.423
"76",75,22.119,36.428,21.978,36.433
"77",76,22.102,36.44,21.896,36.454
"78",77,22.024,36.472,21.777,36.455
"79",78,21.869,36.485,21.701,36.452
"80",79,21.785,36.487,21.641,36.45
"81",80,21.744,36.486,21.51,36.439
"82",81,21.692,36.493,21.298,36.412
"83",82,21.606,36.498,21.169,36.388
"84",83,21.494,36.5,21.102,36.376
"85",84,21.411,36.497,21.012,36.365
"86",85,21.322,36.493,20.908,36.352
"87",86,21.278,36.492,20.802,36.343
"88",87,21.259,36.492,20.713,36.339
"89",88,21.228,36.492,20.628,36.34
"90",89,21.157,36.493,20.585,36.343
"91",90,21.045,36.492,20.549,36.343
"92",91,20.989,36.49,20.513,36.347
"93",92,20.976,36.487,20.445,36.357
"94",93,20.975,36.486,20.332,36.357
"95",94,20.962,36.488,20.251,36.359
"96",95,20.914,36.491,20.208,36.363
"97",96,20.864,36.489,20.17,36.366
"98",97,20.8,36.486,20.122,36.373
"99",98,20.668,36.484,20.037,36.37
"100",99,20.605,36.498,19.887,36.354
"101",100,20.619,36.543,19.759,36.338
"102",101,20.536,36.559,19.692,36.332
"103",102,20.413,36.548,19.659,36.34
"104",103,20.231,36.525,19.636,36.345
"105",104,20.081,36.518,19.604,36.356
"106",105,19.946,36.537,19.571,36.377
"107",106,19.858,36.549,19.507,36.388
"108",107,19.788,36.553,19.401,36.393
"109",108,19.711,36.558,19.319,36.393
"110",109,19.663,36.561,19.295,36.392
"111",110,19.635,36.561,19.292,36.39
"112",111,19.623,36.564,19.294,36.391
"113",112,19.625,36.577,19.298,36.403
"114",113,19.613,36.589,19.298,36.441
"115",114,19.556,36.587,19.265,36.452
"116",115,19.5,36.581,19.223,36.45
"117",116,19.444,36.573,19.179,36.449
"118",117,19.347,36.558,19.154,36.448
"119",118,19.229,36.54,19.127,36.446
"120",119,19.075,36.516,19.105,36.443
"121",120,18.941,36.491,19.086,36.441
"122",121,18.833,36.469,19.077,36.445
"123",122,18.765,36.454,19.071,36.457
"124",123,18.72,36.444,19.035,36.457
"125",124,18.656,36.434,18.938,36.446
"126",125,18.618,36.432,18.799,36.433
"127",126,18.578,36.432,18.675,36.428
"128",127,18.516,36.439,18.629,36.44
"129",128,18.443,36.436,18.611,36.449
"130",129,18.373,36.43,18.55,36.447
"131",130,18.332,36.426,18.476,36.441
"132",131,18.301,36.423,18.401,36.435
"133",132,18.245,36.418,18.316,36.43
"134",133,18.137,36.411,18.241,36.423
"135",134,18.008,36.398,18.178,36.416
"136",135,17.955,36.391,18.087,36.408
"137",136,17.915,36.386,17.956,36.395
"138",137,17.877,36.382,17.858,36.384
"139",138,17.851,36.38,17.778,36.376
"140",139,17.842,36.378,17.717,36.369
"141",140,17.84,36.378,17.672,36.363
"142",141,17.832,36.377,17.609,36.357
"143",142,17.812,36.374,17.549,36.349
"144",143,17.787,36.372,17.486,36.341
"145",144,17.744,36.368,17.43,36.334
"146",145,17.688,36.361,17.367,36.327
"147",146,17.633,36.354,17.303,36.319
"148",147,17.55,36.347,17.248,36.312
"149",148,17.46,36.337,17.218,36.308
"150",149,17.324,36.323,17.187,36.304
"151",150,17.187,36.306,17.146,36.3
"152",151,17.137,36.298,17.093,36.294
"153",152,17.108,36.294,17.055,36.29
"154",153,17.046,36.29,17.027,36.286
"155",154,16.981,36.282,17.008,36.283
"156",155,16.959,36.279,16.989,36.281
"157",156,16.955,36.277,16.958,36.277
"158",157,16.955,36.277,16.916,36.271
"159",158,16.954,36.277,16.873,36.266
"160",159,16.947,36.277,16.832,36.259
"161",160,16.927,36.274,16.785,36.254
"162",161,16.903,36.269,16.746,36.248
"163",162,16.866,36.263,16.712,36.241
"164",163,16.824,36.256,16.688,36.236
"165",164,16.787,36.249,16.662,36.232
"166",165,16.76,36.243,16.609,36.225
"167",166,16.748,36.241,16.554,36.216
"168",167,16.731,36.236,16.49,36.207
"169",168,16.692,36.229,16.433,36.199
"170",169,16.633,36.22,16.409,36.195
"171",170,16.57,36.211,16.379,36.19
"172",171,16.485,36.202,16.319,36.18
"173",172,16.433,36.195,16.27,36.173
"174",173,16.418,36.191,16.229,36.167
"175",174,16.4,36.187,16.201,36.162
"176",175,16.344,36.181,16.175,36.158
"177",176,16.322,36.176,16.149,36.154
"178",177,16.311,36.172,16.125,36.149
"179",178,16.285,36.167,16.11,36.146
"180",179,16.2,36.155,16.086,36.142
"181",180,16.118,36.143,16.068,36.138
"182",181,16.036,36.131,16.029,36.133
"183",182,15.935,36.119,15.957,36.123
"184",183,15.858,36.106,15.892,36.113
"185",184,15.792,36.095,15.855,36.107
"186",185,15.732,36.086,15.817,36.102
"187",186,15.682,36.077,15.748,36.094
"188",187,15.634,36.07,15.692,36.084
"189",188,15.603,36.065,15.665,36.077
"190",189,15.59,36.061,15.644,36.074
"191",190,15.567,36.057,15.632,36.071
"192",191,15.511,36.049,15.621,36.068
"193",192,15.478,36.044,15.598,36.064
"194",193,15.463,36.041,15.57,36.059
"195",194,15.448,36.038,15.544,36.054
"196",195,15.432,36.034,15.508,36.048
"197",196,15.42,36.032,15.458,36.041
"198",197,15.41,36.03,15.398,36.032
"199",198,15.386,36.026,15.357,36.026
"200",199,15.344,36.02,15.337,36.021
"201",200,15.318,36.016,15.303,36.016
"202",201,15.303,36.013,15.268,36.01
"203",202,15.271,36.009,15.221,36.003
"204",203,15.199,35.998,15.183,35.997
"205",204,15.15,35.991,15.143,35.99
"206",205,15.11,35.984,15.104,35.984
"207",206,15.087,35.979,15.082,35.979
"208",207,15.067,35.976,15.058,35.975
"209",208,15.058,35.973,15.038,35.971
"210",209,15.051,35.971,15.012,35.967
"211",210,15.035,35.969,14.986,35.962
"212",211,14.992,35.963,14.954,35.956
"213",212,14.948,35.956,14.929,35.952
"214",213,14.916,35.95,14.896,35.947
"215",214,14.872,35.943,14.878,35.943
"216",215,14.827,35.936,14.859,35.939
"217",216,14.813,35.933,14.825,35.935
"218",217,14.81,35.932,14.778,35.928
"219",218,14.803,35.93,14.729,35.92
"220",219,14.788,35.928,14.661,35.911
"221",220,14.764,35.924,14.627,35.905
"222",221,14.737,35.919,14.61,35.902
"223",222,14.707,35.914,14.582,35.896
"224",223,14.648,35.906,14.538,35.89
"225",224,14.606,35.899,14.501,35.884
"226",225,14.576,35.894,14.48,35.88
"227",226,14.542,35.889,14.468,35.877
"228",227,14.504,35.883,14.447,35.874
"229",228,14.46,35.876,14.408,35.868
"230",229,14.386,35.865,14.343,35.859
"231",230,14.331,35.856,14.296,35.851
"232",231,14.289,35.849,14.252,35.845
"233",232,14.249,35.843,14.219,35.839
"234",233,14.191,35.834,14.195,35.834
"235",234,14.163,35.828,14.16,35.827
"236",235,14.138,35.824,14.116,35.821
"237",236,14.083,35.816,14.086,35.816
"238",237,14.039,35.81,14.069,35.812
"239",238,14.011,35.805,14.053,35.81
"240",239,13.989,35.801,14.034,35.807
"241",240,13.97,35.797,14.018,35.803
"242",241,13.945,35.793,14.007,35.801
"243",242,13.911,35.788,13.99,35.798
"244",243,13.877,35.783,13.953,35.793
"245",244,13.845,35.778,13.897,35.786
"246",245,13.819,35.772,13.806,35.775
"247",246,13.78,35.766,13.746,35.763
"248",247,13.743,35.761,13.721,35.758
"249",248,13.711,35.755,13.685,35.752
"250",249,13.671,35.749,13.642,35.746
"251",250,13.613,35.74,13.593,35.739
"252",251,13.58,35.734,13.571,35.734
"253",252,13.562,35.73,13.562,35.732
"254",253,13.543,35.727,13.548,35.729
"255",254,13.522,35.724,13.515,35.725
"256",255,13.496,35.72,13.492,35.721
"257",256,13.474,35.716,13.474,35.717
"258",257,13.454,35.713,13.451,35.714
"259",258,13.415,35.708,13.396,35.706
"260",259,13.366,35.701,13.342,35.697
"261",260,13.327,35.694,13.307,35.691
"262",261,13.288,35.688,13.276,35.686
"263",262,13.263,35.683,13.244,35.681
"264",263,13.234,35.678,13.205,35.676
"265",264,13.213,35.675,13.168,35.67
"266",265,13.193,35.671,13.138,35.664
"267",266,13.164,35.667,13.115,35.66
"268",267,13.132,35.661,13.094,35.657
"269",268,13.105,35.657,13.078,35.654
"270",269,13.081,35.653,13.065,35.651
"271",270,13.068,35.65,13.05,35.648
"272",271,13.05,35.647,13.011,35.643
"273",272,13.021,35.642,12.984,35.64
"274",273,12.993,35.637,12.967,35.637
"275",274,12.963,35.632,12.946,35.634
"276",275,12.914,35.625,12.932,35.631
"277",276,12.876,35.619,12.915,35.628
"278",277,12.858,35.616,12.889,35.624
"279",278,12.844,35.614,12.867,35.62
"280",279,12.823,35.61,12.851,35.617
"281",280,12.802,35.607,12.828,35.613
"282",281,12.774,35.602,12.799,35.608
"283",282,12.744,35.598,12.765,35.603
"284",283,12.711,35.593,12.733,35.599
"285",284,12.664,35.586,12.704,35.594
"286",285,12.624,35.579,12.675,35.589
"287",286,12.6,35.575,12.648,35.584
"288",287,12.586,35.572,12.596,35.577
"289",288,12.574,35.569,12.552,35.569
"290",289,12.557,35.567,12.521,35.564
"291",290,12.54,35.564,12.499,35.56
"292",291,12.514,35.561,12.465,35.556
"293",292,12.488,35.557,12.451,35.553
"294",293,12.475,35.555,12.435,35.551
"295",294,12.469,35.553,12.405,35.547
"296",295,12.464,35.551,12.37,35.541
"297",296,12.458,35.55,12.335,35.535
"298",297,12.448,35.549,12.299,35.53
"299",298,12.437,35.547,12.254,35.524
"300",299,12.422,35.544,12.196,35.516
"301",300,12.412,35.543,12.15,35.51
"302",301,12.399,35.541,12.122,35.505
"303",302,12.381,35.538,12.109,35.502
"304",303,12.361,35.536,12.097,35.499
"305",304,12.342,35.533,12.074,35.495
"306",305,12.317,35.529,12.034,35.49
"307",306,12.3,35.526,11.994,35.484
"308",307,12.286,35.524,11.968,35.48
"309",308,12.28,35.523,11.942,35.476
"310",309,12.279,35.522,11.925,35.472
"311",310,12.276,35.522,11.904,35.469
"312",311,12.262,35.52,11.888,35.466
"313",312,12.246,35.517,11.869,35.463
"314",313,12.216,35.513,11.842,35.459
"315",314,12.196,35.51,11.809,35.455
"316",315,12.18,35.508,11.787,35.451
"317",316,12.16,35.505,11.768,35.448
"318",317,12.139,35.502,11.755,35.446
"319",318,12.115,35.499,11.741,35.443
"320",319,12.107,35.497,11.721,35.44
"321",320,12.107,35.496,11.696,35.437
"322",321,12.107,35.495,11.664,35.433
"323",322,12.103,35.495,11.64,35.429
"324",323,12.1,35.494,11.616,35.426
"325",324,12.094,35.493,11.586,35.422
"326",325,12.078,35.491,11.559,35.418
"327",326,12.056,35.488,11.532,35.413
"328",327,12.037,35.485,11.491,35.407
"329",328,12.02,35.483,11.458,35.402
"330",329,12.001,35.48,11.431,35.397
"331",330,11.97,35.477,11.411,35.394
"332",331,11.935,35.472,11.395,35.391
"333",332,11.886,35.465,11.38,35.388
"334",333,11.86,35.461,11.357,35.385
"335",334,11.844,35.458,11.322,35.381
"336",335,11.829,35.455,11.286,35.376
"337",336,11.813,35.453,11.263,35.372
"338",337,11.783,35.449,11.248,35.37
"339",338,11.76,35.446,11.228,35.367
"340",339,11.75,35.444,11.208,35.364
"341",340,11.737,35.442,11.185,35.361
"342",341,11.708,35.438,11.167,35.358
"343",342,11.681,35.434,11.162,35.357
"344",343,11.652,35.43,11.161,35.356
"345",344,11.62,35.425,11.16,35.355
"346",345,11.592,35.421,11.155,35.354
"347",346,11.56,35.417,11.139,35.353
"348",347,11.54,35.414,11.107,35.348
"349",348,11.525,35.411,11.07,35.344
"350",349,11.513,35.409,11.038,35.34
"351",350,11.503,35.408,11.004,35.336
"352",351,11.493,35.406,10.978,35.332
"353",352,11.478,35.404,10.964,35.33
"354",353,11.461,35.401,10.957,35.328
"355",354,11.452,35.399,10.953,35.327
"356",355,11.448,35.398,10.94,35.325
"357",356,11.442,35.397,10.908,35.321
"358",357,11.434,35.396,10.885,35.318
"359",358,11.419,35.394,10.862,35.314
"360",359,11.4,35.391,10.843,35.311
"361",360,11.383,35.388,10.83,35.309
"362",361,11.365,35.386,10.818,35.307
